Visor,http://www.champ-sys.com.au/custom/cycling/casual-tech/visor.html,visor,"<p>The CS Custom&#xA0;Visor is made of our breathable <a href='http://champ-sys.com.au/running/fabrics' target='_blank'>CS-Tech</a> Fabric and features an elastic band for supreme comfort. NOTE:&#xA0;This is an embroidered, not a sublimated piece.&#xA0;One logo can be placed on the front of the visor.</p><br><p>&#xA0;</p><br><h4 style='margin-top: 0px; color: #000000; background-color: #ffffff;'>Features:</h4><br><ul style='margin-bottom: 1em; padding-left: 1.5em; list-style-position: outside; list-style-image: initial; background-color: #ffffff;'><br><li>5-piece minimum if part of a jersey/bib short order</li><br><li>50-piece minimum for a cap-only order</li><br><li>available in black, navy blue, and white.</li><br></ul>",
Winter Training Hat,http://www.champ-sys.com.au/custom/cycling/casual-tech/winter-training-hat.html,winter-training-hat,"<p style='text-align: left;'>Classic winter training hat with drawstring closure that can be used as a hat or gaiter.&#xA0;The bottom is made from our exclusive <a href='http://champ-sys.com.au/cycling/fabrics'>CS ThermoShield fabric</a>&#xA0;to keep your ears and forehead warm.&#xA0;The top is made from our exclusive <a href='http://champ-sys.com.au/cycling/fabrics'>CS Tech Fleece fabric</a> to allow for increased breathability. Only the <a href='http://champ-sys.com.au/cycling/fabrics'>CS ThermoShield fabric</a>&#xA0;can be printed with your artwork.</p><br><h4>Features:</h4><br><ul><br><li>unlimited number of colors</li><br><li>fully sublimated</li><br><li><a href='http://www.champ-sys.com.au/order-minimums/' target='_self'>Minimums</a></li><br></ul><br><p>&#xA0;</p>",
Baseball Cap,http://www.champ-sys.com.au/custom/cycling/casual-tech/baseball-cap.html,baseball-cap,"<h4>Features:</h4><br><ul><br><li>One size fits all&#xA0;</li><br><li>NOT full custom - small Embroidery logo only</li><br></ul>",
Tech Mechanic Shirt,http://www.champ-sys.com.au/custom/cycling/casual-tech/tech-mechanic-shirt.html,tech-mechanic-shirt,"<p>Made from either our technical polyester wicking fabric (slightly heavier than our jersey material) or a woven fabric, the mechanic shirt is perfect for staff, retailers or to slip on after a race.&#xA0;It&apos;s a looser fit than our more tailored tech polo shirt.&#xA0;</p><br><p>&#xA0;</p>",
Tech Long Length Training Short,http://www.champ-sys.com.au/custom/cycling/casual-tech/tech-long-length-training-short.html,tech-long-length-training-short,"<p align='left'>Classic loose-fitting running short design.&#xA0;Features a  privacy liner, key pocket, and drawstring waist. Available in both men&apos;s  and women&apos;s cuts. Fully sublimated with your team logos and design.  Unlimited colors at no extra charge.</p>",
Tech Lite Polo Shirt,http://www.champ-sys.com.au/custom/cycling/casual-tech/tech-lite-polo-shirt.html,tech-lite-polo-shirt,"<p style='text-align: justify;'>This polo shirt is fully customisable and is made from our new fabric TECH LITE FABRIC &#x201C;Tech Lite is a lightweight, soft and breathable fabric designed for active sports, keeping you cool and dry while the action heats up&#x201D;  Great for teams, coaches and support staff!</p><br><br>Features:<br><br>    No color charges<br>    No set-up charges<br>    Same price for each style<br>    A BIG Feature That Really Sets Us Apart: Our state-of-the-art digital sublimation printing allows us to print virtually any design.  Unlike most of our competitors who use one set of artwork for the entire order, we prepare separate artwork for every garment and every size.  That means the artwork will look great on an XS shirt and an XXXL shirt.",
Run Shorts - LONG,http://www.champ-sys.com.au/custom/cycling/casual-tech/run-shorts-long.html,run-shorts-long,"<p align='left'>Classic loose-fitting running short design.&#xA0;Features a privacy liner, key pocket, and drawstring waist. Available in both men&apos;s and women&apos;s cuts. Fully sublimated with your team logos and design. Unlimited colors at no extra charge.</p>",
Casual Pants CS Wind Guard,http://www.champ-sys.com.au/custom/cycling/casual-tech/casual-pants-cs-wind-guard-30644.html,casual-pants-cs-wind-guard-30644,"<p>A Champion System exclusive! We&apos;ve been making custom jogging suits for our sponsored athletes and now&#xA0;they are&#xA0;available for every team and club. This high-quality garment is made from a breathable polyester fabric.&#xA0;The best part is that it can be fully sublimated.&#xA0;Great for before and after races or to just wear around town.&#xA0;Your team will definitely stand out and look pro! Available in both men&apos;s and women&apos;s cuts.&#xA0;</p><br><p>&#xA0;</p>",
Hybrid Jacket,http://www.champ-sys.com.au/hybrid-jacket.html,hybrid-jacket,"<p>The Champion System Hybrid Jacket is the perfect jacket for active use in a wide range of sports. The front of the jacket and sleeves feature our <a href='http://champ-sys.com.au/cycling/fabrics'>CS WindGuard</a> fabric, offering complete windproof protection. On the back, the upper utilizes CS WindGuard fabric, while the lower portion is made from a heavyweight fleece fabric. Only the CS WindGuard fabric areas can be printed with your logos. Additional features include two rear zippered pockets and two-way front&#xA0;zipper. Available in set-in sleeve design only.</p>",
Casual Tech Pants,http://www.champ-sys.com.au/custom/cycling/casual-tech/casual-tech-pants.html,casual-tech-pants,"<p>A Champion System exclusive! We&apos;ve been making custom jogging suits for our many sponsored athletes and now&#xA0;they are&#xA0;available for every team and club. This high-quality garment is made from a breathable polyester fabric.&#xA0; The best part is that it can be fully sublimated.&#xA0;Great for before and after races or to just wear around town.&#xA0;Your team will definitely stand out and look pro! Available in both men&apos;s and women&apos;s cuts.</p><br><p>&#xA0;</p>",
Hoodie Jacket,http://www.champ-sys.com.au/custom/cycling/casual-tech/hoodie-jacket.html,hoodie-jacket,"The Champion System Hoodie is made from a warm fleece material and features a zipper in the front, fitted bottom for extra warmth and pockets. Available in BLACK only, with a position on the front for your custom logo.<br>",
Tech Hoodie Jacket,http://www.champ-sys.com.au/custom/cycling/casual-tech/tech-hoodie-jacket.html,tech-hoodie-jacket,"The CS Tech Casual Jacket hoodie takes our already popular CS Tech Casual Jacket to a new comfort level with the addition of a hood for those cool days.  Made from our exclusive CS Tech breathable moisture-wicking fabric this jacket is perfect for before or after an event or just for everyday use.  Features front side pockets with zippers and full length dual front zipper. Available in men&#x2019;s and women&#x2019;s cut.",
Transformer Cap,http://www.champ-sys.com.au/custom/cycling/casual-tech/transformer-cap.html,transformer-cap,"<p>This technical hat is both breathable and folds instantly to fit in your pocket.&#xA0;</p><br><p>NOTE:&#xA0;This is an embroidered, not a sublimated piece.&#xA0;One logo can be placed on the front of the cap.</p><br><p>5-piece minimum if part of a jersey/bib short order<br>50-piece minimum for a cap-only order</p><br><p>&#xA0;</p>",
Custom Race Numbers,http://www.champ-sys.com.au/custom-race-numbers.html,custom-race-numbers,"A revolution in race numbers! We looked at traditional paper race numbers and asked &#x201C;how can we use what we know best, fabrics and state-of-the-art printing, to make these better?&#x201D;. The answer was right in front of our face &#x2013; use fabric not paper and use the same sublimation printing we use on our custom garments. The result is a race number like you have never seen before &#x2013; lightweight, comfortable, and best of all, say good-bye to having a crinkly piece of paper pinned to your jersey.<br><p><br></p><p><br><b><br>**PLEASE NOTE: This pricing ($2.50) is per pair.</b><br>*Please note that we require a minimum of 300 total numbers                    </p>",
Casual Tech Jacket,http://www.champ-sys.com.au/custom/cycling/casual-tech/casual-tech-jacket.html,casual-tech-jacket,"<p>A Champion System exclusive! We&apos;ve been making custom jogging suits for the Pro and National teams we sponsor and now&#xA0;they are&#xA0;available for every team and club. This high-quality garment is made from a breathable polyester fabric and features a mesh liner, high collar, a full-length concealed zipper, and two zippered front slash pockets.&#xA0;The best part is that it can be fully sublimated.&#xA0;That&apos;s right &#x2014; we can take your jersey design and turn it into a matching jogging suit jacket.&#xA0;Great for before and after races or to just wear around town.&#xA0;Your team will definitely stand out and look pro! Available in both men&apos;s and women&apos;s cuts.<strong><br> </strong></p>",
Skull Cap,http://www.champ-sys.com.au/custom/cycling/casual-tech/skull-cap.html,skull-cap,"<p><span style='font-size: 10pt; font-family: &apos;Arial&apos;,&apos;sans-serif&apos;;'>Designed to be worn under a helmet, the <a href='http://champ-sys.com.au/cycling/fabrics' target='_blank'>CS Tech Fleece</a> Skull Cap will keep&#xA0;</span><span style='font-size: 10pt; font-family: &apos;Arial&apos;,&apos;sans-serif&apos;;'>your head warm on cold winter days. The contoured design fits perfectly under a&#xA0;</span><span style='font-size: 10pt; font-family: &apos;Arial&apos;,&apos;sans-serif&apos;;'>helmet offering full head and ear protection. There is an opening in the back to&#xA0;</span><span style='font-size: 10pt; font-family: &apos;Arial&apos;,&apos;sans-serif&apos;;'>allow a ponytail to fit through. This is a unisex one-size-fits-most item available in&#xA0;</span><span style='font-size: 10pt; font-family: &apos;Arial&apos;,&apos;sans-serif&apos;;'>either full custom with your team design or in any of our solid pre-dyed fleece&#xA0;</span><span style='font-size: 10pt; line-height: 115%; font-family: &apos;Arial&apos;,&apos;sans-serif&apos;;'>colors.</span></p><br><!--[if gte mso 9]><xml><br /><w:WordDocument><br /><w:View>Normal</w:View><br /><w:Zoom>0</w:Zoom><br /><w:TrackMoves /><br /><w:TrackFormatting /><br /><w:PunctuationKerning /><br /><w:ValidateAgainstSchemas /><br /><w:SaveIfXMLInvalid>false</w:SaveIfXMLInvalid><br /><w:IgnoreMixedContent>false</w:IgnoreMixedContent><br /><w:AlwaysShowPlaceholderText>false</w:AlwaysShowPlaceholderText><br /><w:DoNotPromoteQF /><br /><w:LidThemeOther>EN-US</w:LidThemeOther><br /><w:LidThemeAsian>X-NONE</w:LidThemeAsian><br /><w:LidThemeComplexScript>X-NONE</w:LidThemeComplexScript><br /><w:Compatibility><br /><w:BreakWrappedTables /><br /><w:SnapToGridInCell /><br /><w:WrapTextWithPunct /><br /><w:UseAsianBreakRules /><br /><w:DontGrowAutofit /><br /><w:SplitPgBreakAndParaMark /><br /><w:DontVertAlignCellWithSp /><br /><w:DontBreakConstrainedForcedTables /><br /><w:DontVertAlignInTxbx /><br /><w:Word11KerningPairs /><br /><w:CachedColBalance /><br /></w:Compatibility><br /><w:BrowserLevel>MicrosoftInternetExplorer4</w:BrowserLevel><br /><m:mathPr><br /><m:mathFont m:val='Cambria Math' /><br /><m:brkBin m:val='before' /><br /><m:brkBinSub m:val='&#45;-' /><br /><m:smallFrac m:val='off' /><br /><m:dispDef /><br /><m:lMargin m:val='0' /><br /><m:rMargin m:val='0' /><br /><m:defJc m:val='centerGroup' /><br /><m:wrapIndent m:val='1440' /><br /><m:intLim m:val='subSup' /><br /><m:naryLim m:val='undOvr' /><br /></m:mathPr></w:WordDocument><br /></xml><![endif]--><!--[if gte mso 9]><xml><br /><w:LatentStyles DefLockedState='false' DefUnhideWhenUsed='true'<br />DefSemiHidden='true' DefQFormat='false' DefPriority='99'<br />LatentStyleCount='267'><br /><w:LsdException Locked='false' Priority='0' SemiHidden='false'<br />UnhideWhenUsed='false' QFormat='true' Name='Normal' /><br /><w:LsdException Locked='false' Priority='9' SemiHidden='false'<br />UnhideWhenUsed='false' QFormat='true' Name='heading 1' /><br /><w:LsdException Locked='false' Priority='9' QFormat='true' Name='heading 2' /><br /><w:LsdException Locked='false' Priority='9' QFormat='true' Name='heading 3' /><br /><w:LsdException Locked='false' Priority='9' QFormat='true' Name='heading 4' /><br /><w:LsdException Locked='false' Priority='9' QFormat='true' Name='heading 5' /><br /><w:LsdException Locked='false' Priority='9' QFormat='true' Name='heading 6' /><br /><w:LsdException Locked='false' Priority='9' QFormat='true' Name='heading 7' /><br /><w:LsdException Locked='false' Priority='9' QFormat='true' Name='heading 8' /><br /><w:LsdException Locked='false' Priority='9' QFormat='true' Name='heading 9' /><br /><w:LsdException Locked='false' Priority='39' Name='toc 1' /><br /><w:LsdException Locked='false' Priority='39' Name='toc 2' /><br /><w:LsdException Locked='false' Priority='39' Name='toc 3' /><br /><w:LsdException Locked='false' Priority='39' Name='toc 4' /><br /><w:LsdException Locked='false' Priority='39' Name='toc 5' /><br /><w:LsdException Locked='false' Priority='39' Name='toc 6' /><br /><w:LsdException Locked='false' Priority='39' Name='toc 7' /><br /><w:LsdException Locked='false' Priority='39' Name='toc 8' /><br /><w:LsdException Locked='false' Priority='39' Name='toc 9' /><br /><w:LsdException Locked='false' Priority='35' QFormat='true' Name='caption' /><br /><w:LsdException Locked='false' Priority='10' SemiHidden='false'<br />UnhideWhenUsed='false' QFormat='true' Name='Title' /><br /><w:LsdException Locked='false' Priority='1' Name='Default Paragraph Font' /><br /><w:LsdException Locked='false' Priority='11' SemiHidden='false'<br />UnhideWhenUsed='false' QFormat='true' Name='Subtitle' /><br /><w:LsdException Locked='false' Priority='22' SemiHidden='false'<br />UnhideWhenUsed='false' QFormat='true' Name='Strong' /><br /><w:LsdException Locked='false' Priority='20' SemiHidden='false'<br />UnhideWhenUsed='false' QFormat='true' Name='Emphasis' /><br /><w:LsdException Locked='false' Priority='59' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Table Grid' /><br /><w:LsdException Locked='false' UnhideWhenUsed='false' Name='Placeholder Text' /><br /><w:LsdException Locked='false' Priority='1' SemiHidden='false'<br />UnhideWhenUsed='false' QFormat='true' Name='No Spacing' /><br /><w:LsdException Locked='false' Priority='60' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Light Shading' /><br /><w:LsdException Locked='false' Priority='61' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Light List' /><br /><w:LsdException Locked='false' Priority='62' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Light Grid' /><br /><w:LsdException Locked='false' Priority='63' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Shading 1' /><br /><w:LsdException Locked='false' Priority='64' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Shading 2' /><br /><w:LsdException Locked='false' Priority='65' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium List 1' /><br /><w:LsdException Locked='false' Priority='66' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium List 2' /><br /><w:LsdException Locked='false' Priority='67' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Grid 1' /><br /><w:LsdException Locked='false' Priority='68' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Grid 2' /><br /><w:LsdException Locked='false' Priority='69' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Grid 3' /><br /><w:LsdException Locked='false' Priority='70' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Dark List' /><br /><w:LsdException Locked='false' Priority='71' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Colorful Shading' /><br /><w:LsdException Locked='false' Priority='72' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Colorful List' /><br /><w:LsdException Locked='false' Priority='73' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Colorful Grid' /><br /><w:LsdException Locked='false' Priority='60' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Light Shading Accent 1' /><br /><w:LsdException Locked='false' Priority='61' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Light List Accent 1' /><br /><w:LsdException Locked='false' Priority='62' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Light Grid Accent 1' /><br /><w:LsdException Locked='false' Priority='63' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Shading 1 Accent 1' /><br /><w:LsdException Locked='false' Priority='64' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Shading 2 Accent 1' /><br /><w:LsdException Locked='false' Priority='65' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium List 1 Accent 1' /><br /><w:LsdException Locked='false' UnhideWhenUsed='false' Name='Revision' /><br /><w:LsdException Locked='false' Priority='34' SemiHidden='false'<br />UnhideWhenUsed='false' QFormat='true' Name='List Paragraph' /><br /><w:LsdException Locked='false' Priority='29' SemiHidden='false'<br />UnhideWhenUsed='false' QFormat='true' Name='Quote' /><br /><w:LsdException Locked='false' Priority='30' SemiHidden='false'<br />UnhideWhenUsed='false' QFormat='true' Name='Intense Quote' /><br /><w:LsdException Locked='false' Priority='66' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium List 2 Accent 1' /><br /><w:LsdException Locked='false' Priority='67' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Grid 1 Accent 1' /><br /><w:LsdException Locked='false' Priority='68' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Grid 2 Accent 1' /><br /><w:LsdException Locked='false' Priority='69' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Grid 3 Accent 1' /><br /><w:LsdException Locked='false' Priority='70' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Dark List Accent 1' /><br /><w:LsdException Locked='false' Priority='71' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Colorful Shading Accent 1' /><br /><w:LsdException Locked='false' Priority='72' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Colorful List Accent 1' /><br /><w:LsdException Locked='false' Priority='73' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Colorful Grid Accent 1' /><br /><w:LsdException Locked='false' Priority='60' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Light Shading Accent 2' /><br /><w:LsdException Locked='false' Priority='61' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Light List Accent 2' /><br /><w:LsdException Locked='false' Priority='62' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Light Grid Accent 2' /><br /><w:LsdException Locked='false' Priority='63' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Shading 1 Accent 2' /><br /><w:LsdException Locked='false' Priority='64' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Shading 2 Accent 2' /><br /><w:LsdException Locked='false' Priority='65' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium List 1 Accent 2' /><br /><w:LsdException Locked='false' Priority='66' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium List 2 Accent 2' /><br /><w:LsdException Locked='false' Priority='67' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Grid 1 Accent 2' /><br /><w:LsdException Locked='false' Priority='68' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Grid 2 Accent 2' /><br /><w:LsdException Locked='false' Priority='69' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Grid 3 Accent 2' /><br /><w:LsdException Locked='false' Priority='70' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Dark List Accent 2' /><br /><w:LsdException Locked='false' Priority='71' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Colorful Shading Accent 2' /><br /><w:LsdException Locked='false' Priority='72' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Colorful List Accent 2' /><br /><w:LsdException Locked='false' Priority='73' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Colorful Grid Accent 2' /><br /><w:LsdException Locked='false' Priority='60' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Light Shading Accent 3' /><br /><w:LsdException Locked='false' Priority='61' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Light List Accent 3' /><br /><w:LsdException Locked='false' Priority='62' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Light Grid Accent 3' /><br /><w:LsdException Locked='false' Priority='63' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Shading 1 Accent 3' /><br /><w:LsdException Locked='false' Priority='64' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Shading 2 Accent 3' /><br /><w:LsdException Locked='false' Priority='65' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium List 1 Accent 3' /><br /><w:LsdException Locked='false' Priority='66' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium List 2 Accent 3' /><br /><w:LsdException Locked='false' Priority='67' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Grid 1 Accent 3' /><br /><w:LsdException Locked='false' Priority='68' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Grid 2 Accent 3' /><br /><w:LsdException Locked='false' Priority='69' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Grid 3 Accent 3' /><br /><w:LsdException Locked='false' Priority='70' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Dark List Accent 3' /><br /><w:LsdException Locked='false' Priority='71' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Colorful Shading Accent 3' /><br /><w:LsdException Locked='false' Priority='72' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Colorful List Accent 3' /><br /><w:LsdException Locked='false' Priority='73' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Colorful Grid Accent 3' /><br /><w:LsdException Locked='false' Priority='60' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Light Shading Accent 4' /><br /><w:LsdException Locked='false' Priority='61' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Light List Accent 4' /><br /><w:LsdException Locked='false' Priority='62' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Light Grid Accent 4' /><br /><w:LsdException Locked='false' Priority='63' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Shading 1 Accent 4' /><br /><w:LsdException Locked='false' Priority='64' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Shading 2 Accent 4' /><br /><w:LsdException Locked='false' Priority='65' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium List 1 Accent 4' /><br /><w:LsdException Locked='false' Priority='66' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium List 2 Accent 4' /><br /><w:LsdException Locked='false' Priority='67' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Grid 1 Accent 4' /><br /><w:LsdException Locked='false' Priority='68' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Grid 2 Accent 4' /><br /><w:LsdException Locked='false' Priority='69' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Grid 3 Accent 4' /><br /><w:LsdException Locked='false' Priority='70' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Dark List Accent 4' /><br /><w:LsdException Locked='false' Priority='71' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Colorful Shading Accent 4' /><br /><w:LsdException Locked='false' Priority='72' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Colorful List Accent 4' /><br /><w:LsdException Locked='false' Priority='73' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Colorful Grid Accent 4' /><br /><w:LsdException Locked='false' Priority='60' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Light Shading Accent 5' /><br /><w:LsdException Locked='false' Priority='61' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Light List Accent 5' /><br /><w:LsdException Locked='false' Priority='62' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Light Grid Accent 5' /><br /><w:LsdException Locked='false' Priority='63' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Shading 1 Accent 5' /><br /><w:LsdException Locked='false' Priority='64' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Shading 2 Accent 5' /><br /><w:LsdException Locked='false' Priority='65' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium List 1 Accent 5' /><br /><w:LsdException Locked='false' Priority='66' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium List 2 Accent 5' /><br /><w:LsdException Locked='false' Priority='67' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Grid 1 Accent 5' /><br /><w:LsdException Locked='false' Priority='68' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Grid 2 Accent 5' /><br /><w:LsdException Locked='false' Priority='69' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Grid 3 Accent 5' /><br /><w:LsdException Locked='false' Priority='70' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Dark List Accent 5' /><br /><w:LsdException Locked='false' Priority='71' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Colorful Shading Accent 5' /><br /><w:LsdException Locked='false' Priority='72' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Colorful List Accent 5' /><br /><w:LsdException Locked='false' Priority='73' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Colorful Grid Accent 5' /><br /><w:LsdException Locked='false' Priority='60' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Light Shading Accent 6' /><br /><w:LsdException Locked='false' Priority='61' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Light List Accent 6' /><br /><w:LsdException Locked='false' Priority='62' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Light Grid Accent 6' /><br /><w:LsdException Locked='false' Priority='63' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Shading 1 Accent 6' /><br /><w:LsdException Locked='false' Priority='64' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Shading 2 Accent 6' /><br /><w:LsdException Locked='false' Priority='65' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium List 1 Accent 6' /><br /><w:LsdException Locked='false' Priority='66' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium List 2 Accent 6' /><br /><w:LsdException Locked='false' Priority='67' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Grid 1 Accent 6' /><br /><w:LsdException Locked='false' Priority='68' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Grid 2 Accent 6' /><br /><w:LsdException Locked='false' Priority='69' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Grid 3 Accent 6' /><br /><w:LsdException Locked='false' Priority='70' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Dark List Accent 6' /><br /><w:LsdException Locked='false' Priority='71' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Colorful Shading Accent 6' /><br /><w:LsdException Locked='false' Priority='72' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Colorful List Accent 6' /><br /><w:LsdException Locked='false' Priority='73' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Colorful Grid Accent 6' /><br /><w:LsdException Locked='false' Priority='19' SemiHidden='false'<br />UnhideWhenUsed='false' QFormat='true' Name='Subtle Emphasis' /><br /><w:LsdException Locked='false' Priority='21' SemiHidden='false'<br />UnhideWhenUsed='false' QFormat='true' Name='Intense Emphasis' /><br /><w:LsdException Locked='false' Priority='31' SemiHidden='false'<br />UnhideWhenUsed='false' QFormat='true' Name='Subtle Reference' /><br /><w:LsdException Locked='false' Priority='32' SemiHidden='false'<br />UnhideWhenUsed='false' QFormat='true' Name='Intense Reference' /><br /><w:LsdException Locked='false' Priority='33' SemiHidden='false'<br />UnhideWhenUsed='false' QFormat='true' Name='Book Title' /><br /><w:LsdException Locked='false' Priority='37' Name='Bibliography' /><br /><w:LsdException Locked='false' Priority='39' QFormat='true' Name='TOC Heading' /><br /></w:LatentStyles><br /></xml><![endif]--><!--[if gte mso 10]><br /><style><br />/* Style Definitions */<br />table.MsoNormalTable<br />{mso-style-name:'Table Normal';<br />mso-tstyle-rowband-size:0;<br />mso-tstyle-colband-size:0;<br />mso-style-noshow:yes;<br />mso-style-priority:99;<br />mso-style-qformat:yes;<br />mso-style-parent:'';<br />mso-padding-alt:0in 5.4pt 0in 5.4pt;<br />mso-para-margin-top:0in;<br />mso-para-margin-right:0in;<br />mso-para-margin-bottom:10.0pt;<br />mso-para-margin-left:0in;<br />line-height:115%;<br />mso-pagination:widow-orphan;<br />font-size:11.0pt;<br />font-family:'Calibri','sans-serif';<br />mso-ascii-font-family:Calibri;<br />mso-ascii-theme-font:minor-latin;<br />mso-hansi-font-family:Calibri;<br />mso-hansi-theme-font:minor-latin;}<br /></style><br /><![endif]--><br><div class='std'><br><h4>Features:</h4><br><ul><br><li class='MsoNormal' style='line-height: normal;'><span style='font-size: 10pt; font-family: &apos;Arial&apos;,&apos;sans-serif&apos;;'>The ultimate in winter warmth, our skull cap features our warm and breathable CS Tech-Fleece &#x2014; the same lightweight fleece we use in our arm/leg/knee warmers.&#xA0;Fits snug and tight so it will work great under your helmet. A must for cold winter riding!</span></li><br><li class='MsoNormal' style='line-height: normal;'><a href='http://www.champ-sys.com.au/order-minimums/' target='_self'><span style='font-size: 10pt; font-family: &apos;Arial&apos;,&apos;sans-serif&apos;;'>Minimums&#xA0;</span></a></li><br></ul><br></div>",
