UniqueName,imgURL
techsummerjersey-30652,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/t/e/tech-pro-detail-01_2.jpg
techsummerjersey-30652,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/t/e/tech-pro-detail-04_2.jpg
techsummerjersey-30652,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/t/e/tech-pro-detail-02_2.jpg
techsummerjersey-30652,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/t/e/tech-pro-detail-05_2.jpg
techsummerjersey-30652,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/t/e/tech-pro-detail-03_2.jpg
techsummerjersey-30652,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/w/o/women_tech_pro-front_1.jpg
bmx-downhill-jersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/f/i/file_1_13.jpg
bmx-downhill-jersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/f/i/file_64_10.jpg
bmx-downhill-jersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/d/o/downhill-jersey.jpg
apexprojersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/a/p/apex_pro_jersey_front.jpg
apexprojersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/s/s/ss-0126-15_v10_apex_-_pro_jersey.pdf_back.jpg
apexprojersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/d/s/dsc06773.jpg
apexprojersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/d/s/dsc06797.jpg
apexprojersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/d/s/dsc06761.jpg
weather-guard-short-sleeve-jersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/c/s/cs_apex_weather_guard_jersey_back.jpg
weather-guard-short-sleeve-jersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/c/s/cs_apex_weather_guard_jersey.jpg
weather-guard-short-sleeve-jersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/w/e/weather-guard-short-sleeve-jersey.jpg
performanceprojersey-30655,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/d/s/dsc06818_1.jpg
performanceprojersey-30655,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/d/s/dsc06819_1.jpg
performanceprojersey-30655,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/w/o/women-performance-front_1.jpg
techprojersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/t/e/tech-pro-jersey_front_1.jpg
techprojersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/t/e/tech-pro-detail-04_1.jpg
techprojersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/t/e/tech-pro-detail-02_1.jpg
techprojersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/t/e/tech-pro-detail-05_1.jpg
techprojersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/t/e/tech-pro-detail-03_1.jpg
techprojersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/t/e/tech-pro-detail-01_1.jpg
techprojersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/t/e/tech-pro-jersey_back_1.jpg
tech-fleece-lite-long-sleeve-jersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/t/e/tech-fleece-lite-long-sleeve-jersey.jpg
tech-fleece-lite-long-sleeve-jersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/f/i/file_46_127_1.jpg
tech-fleece-lite-long-sleeve-jersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/f/i/file_29_92_1.jpg
tech-fleece-long-sleeve-jersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/t/e/tech-fleece-long-sleeve-jersey.jpg
tech-fleece-long-sleeve-jersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/f/i/file_46_127.jpg
tech-fleece-long-sleeve-jersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/f/i/file_33_24.jpg
tech-fleece-long-sleeve-jersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/f/i/file_29_92.jpg
weather-guard-short-sleeve-jersey-30696,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/w/e/weatherguardls.jpg
apexaerojersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/a/p/apex_aero_jersey_front.jpg
apexaerojersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/s/s/ss-0128-15_v8_apex_-_aero_jersey.pdf_back.jpg
apexaerojersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/d/s/dsc06772.jpg
apexaerojersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/d/s/dsc06747.jpg
performancesummerjersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/s/s/ss-0130-15_v8_performance_-_summer_jersey.pdf_back_1.jpg
performancesummerjersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/p/e/perforamnce_summer_jersey_front_1.jpg
performancesummerjersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/d/s/dsc06827.jpg
performancesummerjersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/d/s/dsc06824.jpg
apexaerojersey-30655,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/d/s/dsc06772_1.jpg
apexaerojersey-30655,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/d/s/dsc06747_2.jpg
apexaerojersey-30655,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/w/o/women-apex-aero-front.jpg
trailjersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/m/e/mens-trail-jersey-back.jpg
trailjersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/f/i/file_26_183.jpg
custom-mini-jerseys,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/f/i/file_3_27.jpg
wmsapexprojersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/d/s/dsc06861_1.jpg
wmsapexprojersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/d/s/dsc06797_1.jpg
wmsapexprojersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/d/s/dsc06761_2.jpg
wmsapexprojersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/w/o/women-apex-pro-front_1.jpg
techsummerjersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/t/e/tech-summer-jersey_front.jpg
techsummerjersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/t/e/tech-pro-detail-01.jpg
techsummerjersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/t/e/tech-pro-detail-04.jpg
techsummerjersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/t/e/tech-pro-detail-02.jpg
techsummerjersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/t/e/tech-pro-detail-05.jpg
techsummerjersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/t/e/tech-pro-detail-03.jpg
techsummerjersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/t/e/tech-pro-jersey_back.jpg
performancesummerjersey-30655,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/d/s/dsc06827_2.jpg
performancesummerjersey-30655,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/d/s/dsc06824_1.jpg
performancesummerjersey-30655,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/d/s/dsc06827_1_1.jpg
performancesummerjersey-30655,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/w/o/women-performance-front_2.jpg
performanceprojersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/s/s/ss-0129-15_v8_performance_-_pro_jersey.pdf_back.jpg
performanceprojersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/p/e/perforamnce_pro_jersey_front.jpg
performanceprojersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/d/s/dsc06818.jpg
performanceprojersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/d/s/dsc06819.jpg
apexsummerjersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/a/p/apex_summer_jersey_back.jpg
apexsummerjersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/a/p/apex_summer_jersey_front.jpg
apexsummerjersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/d/s/dsc06862.jpg
apexsummerjersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/d/s/dsc06747_1.jpg
apexsummerjersey,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/d/s/dsc06761_1.jpg
techprojersey-30654,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/t/e/tech-pro-detail-04_1_1.jpg
techprojersey-30654,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/t/e/tech-pro-detail-02_1_1.jpg
techprojersey-30654,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/t/e/tech-pro-detail-05_1_1.jpg
techprojersey-30654,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/t/e/tech-pro-detail-03_1_1.jpg
techprojersey-30654,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/t/e/tech-pro-detail-01_1_1.jpg
techprojersey-30654,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/w/o/women_tech_pro-front.jpg
apexsummerjersey-30655,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/d/s/dsc06862_1.jpg
apexsummerjersey-30655,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/d/s/dsc06747_1_1.jpg
apexsummerjersey-30655,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/d/s/dsc06761_1_1.jpg
apexsummerjersey-30655,http://www.champ-sys.com.au/media/catalog/product/cache/1/image/800x800/9df78eab33525d08d6e5fb8d27136e95/w/o/women-apex-summer-short-sleeve_1.jpg
