Winter Training Hat,http://www.champ-sys.com.au/custom/triathlon/accessories/winter-training-hat.html,winter-training-hat,"<p style='text-align: left;'>Classic winter training hat with drawstring closure that can be used as a hat or gaiter.&#xA0;The bottom is made from our exclusive <a href='http://champ-sys.com.au/cycling/fabrics'>CS ThermoShield fabric</a>&#xA0;to keep your ears and forehead warm.&#xA0;The top is made from our exclusive <a href='http://champ-sys.com.au/cycling/fabrics'>CS Tech Fleece fabric</a> to allow for increased breathability. Only the <a href='http://champ-sys.com.au/cycling/fabrics'>CS ThermoShield fabric</a>&#xA0;can be printed with your artwork.</p><br><h4>Features:</h4><br><ul><br><li>unlimited number of colors</li><br><li>fully sublimated</li><br><li><a href='http://www.champ-sys.com.au/order-minimums/' target='_self'>Minimums</a></li><br></ul><br><p>&#xA0;</p>",
Skull Cap,http://www.champ-sys.com.au/custom/triathlon/accessories/skull-cap.html,skull-cap,"<p><span style='font-size: 10pt; font-family: &apos;Arial&apos;,&apos;sans-serif&apos;;'>Designed to be worn under a helmet, the <a href='http://champ-sys.com.au/cycling/fabrics' target='_blank'>CS Tech Fleece</a> Skull Cap will keep&#xA0;</span><span style='font-size: 10pt; font-family: &apos;Arial&apos;,&apos;sans-serif&apos;;'>your head warm on cold winter days. The contoured design fits perfectly under a&#xA0;</span><span style='font-size: 10pt; font-family: &apos;Arial&apos;,&apos;sans-serif&apos;;'>helmet offering full head and ear protection. There is an opening in the back to&#xA0;</span><span style='font-size: 10pt; font-family: &apos;Arial&apos;,&apos;sans-serif&apos;;'>allow a ponytail to fit through. This is a unisex one-size-fits-most item available in&#xA0;</span><span style='font-size: 10pt; font-family: &apos;Arial&apos;,&apos;sans-serif&apos;;'>either full custom with your team design or in any of our solid pre-dyed fleece&#xA0;</span><span style='font-size: 10pt; line-height: 115%; font-family: &apos;Arial&apos;,&apos;sans-serif&apos;;'>colors.</span></p><br><!--[if gte mso 9]><xml><br /><w:WordDocument><br /><w:View>Normal</w:View><br /><w:Zoom>0</w:Zoom><br /><w:TrackMoves /><br /><w:TrackFormatting /><br /><w:PunctuationKerning /><br /><w:ValidateAgainstSchemas /><br /><w:SaveIfXMLInvalid>false</w:SaveIfXMLInvalid><br /><w:IgnoreMixedContent>false</w:IgnoreMixedContent><br /><w:AlwaysShowPlaceholderText>false</w:AlwaysShowPlaceholderText><br /><w:DoNotPromoteQF /><br /><w:LidThemeOther>EN-US</w:LidThemeOther><br /><w:LidThemeAsian>X-NONE</w:LidThemeAsian><br /><w:LidThemeComplexScript>X-NONE</w:LidThemeComplexScript><br /><w:Compatibility><br /><w:BreakWrappedTables /><br /><w:SnapToGridInCell /><br /><w:WrapTextWithPunct /><br /><w:UseAsianBreakRules /><br /><w:DontGrowAutofit /><br /><w:SplitPgBreakAndParaMark /><br /><w:DontVertAlignCellWithSp /><br /><w:DontBreakConstrainedForcedTables /><br /><w:DontVertAlignInTxbx /><br /><w:Word11KerningPairs /><br /><w:CachedColBalance /><br /></w:Compatibility><br /><w:BrowserLevel>MicrosoftInternetExplorer4</w:BrowserLevel><br /><m:mathPr><br /><m:mathFont m:val='Cambria Math' /><br /><m:brkBin m:val='before' /><br /><m:brkBinSub m:val='&#45;-' /><br /><m:smallFrac m:val='off' /><br /><m:dispDef /><br /><m:lMargin m:val='0' /><br /><m:rMargin m:val='0' /><br /><m:defJc m:val='centerGroup' /><br /><m:wrapIndent m:val='1440' /><br /><m:intLim m:val='subSup' /><br /><m:naryLim m:val='undOvr' /><br /></m:mathPr></w:WordDocument><br /></xml><![endif]--><!--[if gte mso 9]><xml><br /><w:LatentStyles DefLockedState='false' DefUnhideWhenUsed='true'<br />DefSemiHidden='true' DefQFormat='false' DefPriority='99'<br />LatentStyleCount='267'><br /><w:LsdException Locked='false' Priority='0' SemiHidden='false'<br />UnhideWhenUsed='false' QFormat='true' Name='Normal' /><br /><w:LsdException Locked='false' Priority='9' SemiHidden='false'<br />UnhideWhenUsed='false' QFormat='true' Name='heading 1' /><br /><w:LsdException Locked='false' Priority='9' QFormat='true' Name='heading 2' /><br /><w:LsdException Locked='false' Priority='9' QFormat='true' Name='heading 3' /><br /><w:LsdException Locked='false' Priority='9' QFormat='true' Name='heading 4' /><br /><w:LsdException Locked='false' Priority='9' QFormat='true' Name='heading 5' /><br /><w:LsdException Locked='false' Priority='9' QFormat='true' Name='heading 6' /><br /><w:LsdException Locked='false' Priority='9' QFormat='true' Name='heading 7' /><br /><w:LsdException Locked='false' Priority='9' QFormat='true' Name='heading 8' /><br /><w:LsdException Locked='false' Priority='9' QFormat='true' Name='heading 9' /><br /><w:LsdException Locked='false' Priority='39' Name='toc 1' /><br /><w:LsdException Locked='false' Priority='39' Name='toc 2' /><br /><w:LsdException Locked='false' Priority='39' Name='toc 3' /><br /><w:LsdException Locked='false' Priority='39' Name='toc 4' /><br /><w:LsdException Locked='false' Priority='39' Name='toc 5' /><br /><w:LsdException Locked='false' Priority='39' Name='toc 6' /><br /><w:LsdException Locked='false' Priority='39' Name='toc 7' /><br /><w:LsdException Locked='false' Priority='39' Name='toc 8' /><br /><w:LsdException Locked='false' Priority='39' Name='toc 9' /><br /><w:LsdException Locked='false' Priority='35' QFormat='true' Name='caption' /><br /><w:LsdException Locked='false' Priority='10' SemiHidden='false'<br />UnhideWhenUsed='false' QFormat='true' Name='Title' /><br /><w:LsdException Locked='false' Priority='1' Name='Default Paragraph Font' /><br /><w:LsdException Locked='false' Priority='11' SemiHidden='false'<br />UnhideWhenUsed='false' QFormat='true' Name='Subtitle' /><br /><w:LsdException Locked='false' Priority='22' SemiHidden='false'<br />UnhideWhenUsed='false' QFormat='true' Name='Strong' /><br /><w:LsdException Locked='false' Priority='20' SemiHidden='false'<br />UnhideWhenUsed='false' QFormat='true' Name='Emphasis' /><br /><w:LsdException Locked='false' Priority='59' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Table Grid' /><br /><w:LsdException Locked='false' UnhideWhenUsed='false' Name='Placeholder Text' /><br /><w:LsdException Locked='false' Priority='1' SemiHidden='false'<br />UnhideWhenUsed='false' QFormat='true' Name='No Spacing' /><br /><w:LsdException Locked='false' Priority='60' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Light Shading' /><br /><w:LsdException Locked='false' Priority='61' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Light List' /><br /><w:LsdException Locked='false' Priority='62' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Light Grid' /><br /><w:LsdException Locked='false' Priority='63' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Shading 1' /><br /><w:LsdException Locked='false' Priority='64' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Shading 2' /><br /><w:LsdException Locked='false' Priority='65' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium List 1' /><br /><w:LsdException Locked='false' Priority='66' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium List 2' /><br /><w:LsdException Locked='false' Priority='67' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Grid 1' /><br /><w:LsdException Locked='false' Priority='68' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Grid 2' /><br /><w:LsdException Locked='false' Priority='69' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Grid 3' /><br /><w:LsdException Locked='false' Priority='70' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Dark List' /><br /><w:LsdException Locked='false' Priority='71' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Colorful Shading' /><br /><w:LsdException Locked='false' Priority='72' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Colorful List' /><br /><w:LsdException Locked='false' Priority='73' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Colorful Grid' /><br /><w:LsdException Locked='false' Priority='60' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Light Shading Accent 1' /><br /><w:LsdException Locked='false' Priority='61' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Light List Accent 1' /><br /><w:LsdException Locked='false' Priority='62' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Light Grid Accent 1' /><br /><w:LsdException Locked='false' Priority='63' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Shading 1 Accent 1' /><br /><w:LsdException Locked='false' Priority='64' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Shading 2 Accent 1' /><br /><w:LsdException Locked='false' Priority='65' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium List 1 Accent 1' /><br /><w:LsdException Locked='false' UnhideWhenUsed='false' Name='Revision' /><br /><w:LsdException Locked='false' Priority='34' SemiHidden='false'<br />UnhideWhenUsed='false' QFormat='true' Name='List Paragraph' /><br /><w:LsdException Locked='false' Priority='29' SemiHidden='false'<br />UnhideWhenUsed='false' QFormat='true' Name='Quote' /><br /><w:LsdException Locked='false' Priority='30' SemiHidden='false'<br />UnhideWhenUsed='false' QFormat='true' Name='Intense Quote' /><br /><w:LsdException Locked='false' Priority='66' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium List 2 Accent 1' /><br /><w:LsdException Locked='false' Priority='67' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Grid 1 Accent 1' /><br /><w:LsdException Locked='false' Priority='68' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Grid 2 Accent 1' /><br /><w:LsdException Locked='false' Priority='69' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Grid 3 Accent 1' /><br /><w:LsdException Locked='false' Priority='70' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Dark List Accent 1' /><br /><w:LsdException Locked='false' Priority='71' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Colorful Shading Accent 1' /><br /><w:LsdException Locked='false' Priority='72' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Colorful List Accent 1' /><br /><w:LsdException Locked='false' Priority='73' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Colorful Grid Accent 1' /><br /><w:LsdException Locked='false' Priority='60' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Light Shading Accent 2' /><br /><w:LsdException Locked='false' Priority='61' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Light List Accent 2' /><br /><w:LsdException Locked='false' Priority='62' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Light Grid Accent 2' /><br /><w:LsdException Locked='false' Priority='63' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Shading 1 Accent 2' /><br /><w:LsdException Locked='false' Priority='64' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Shading 2 Accent 2' /><br /><w:LsdException Locked='false' Priority='65' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium List 1 Accent 2' /><br /><w:LsdException Locked='false' Priority='66' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium List 2 Accent 2' /><br /><w:LsdException Locked='false' Priority='67' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Grid 1 Accent 2' /><br /><w:LsdException Locked='false' Priority='68' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Grid 2 Accent 2' /><br /><w:LsdException Locked='false' Priority='69' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Grid 3 Accent 2' /><br /><w:LsdException Locked='false' Priority='70' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Dark List Accent 2' /><br /><w:LsdException Locked='false' Priority='71' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Colorful Shading Accent 2' /><br /><w:LsdException Locked='false' Priority='72' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Colorful List Accent 2' /><br /><w:LsdException Locked='false' Priority='73' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Colorful Grid Accent 2' /><br /><w:LsdException Locked='false' Priority='60' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Light Shading Accent 3' /><br /><w:LsdException Locked='false' Priority='61' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Light List Accent 3' /><br /><w:LsdException Locked='false' Priority='62' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Light Grid Accent 3' /><br /><w:LsdException Locked='false' Priority='63' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Shading 1 Accent 3' /><br /><w:LsdException Locked='false' Priority='64' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Shading 2 Accent 3' /><br /><w:LsdException Locked='false' Priority='65' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium List 1 Accent 3' /><br /><w:LsdException Locked='false' Priority='66' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium List 2 Accent 3' /><br /><w:LsdException Locked='false' Priority='67' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Grid 1 Accent 3' /><br /><w:LsdException Locked='false' Priority='68' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Grid 2 Accent 3' /><br /><w:LsdException Locked='false' Priority='69' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Grid 3 Accent 3' /><br /><w:LsdException Locked='false' Priority='70' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Dark List Accent 3' /><br /><w:LsdException Locked='false' Priority='71' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Colorful Shading Accent 3' /><br /><w:LsdException Locked='false' Priority='72' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Colorful List Accent 3' /><br /><w:LsdException Locked='false' Priority='73' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Colorful Grid Accent 3' /><br /><w:LsdException Locked='false' Priority='60' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Light Shading Accent 4' /><br /><w:LsdException Locked='false' Priority='61' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Light List Accent 4' /><br /><w:LsdException Locked='false' Priority='62' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Light Grid Accent 4' /><br /><w:LsdException Locked='false' Priority='63' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Shading 1 Accent 4' /><br /><w:LsdException Locked='false' Priority='64' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Shading 2 Accent 4' /><br /><w:LsdException Locked='false' Priority='65' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium List 1 Accent 4' /><br /><w:LsdException Locked='false' Priority='66' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium List 2 Accent 4' /><br /><w:LsdException Locked='false' Priority='67' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Grid 1 Accent 4' /><br /><w:LsdException Locked='false' Priority='68' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Grid 2 Accent 4' /><br /><w:LsdException Locked='false' Priority='69' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Grid 3 Accent 4' /><br /><w:LsdException Locked='false' Priority='70' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Dark List Accent 4' /><br /><w:LsdException Locked='false' Priority='71' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Colorful Shading Accent 4' /><br /><w:LsdException Locked='false' Priority='72' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Colorful List Accent 4' /><br /><w:LsdException Locked='false' Priority='73' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Colorful Grid Accent 4' /><br /><w:LsdException Locked='false' Priority='60' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Light Shading Accent 5' /><br /><w:LsdException Locked='false' Priority='61' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Light List Accent 5' /><br /><w:LsdException Locked='false' Priority='62' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Light Grid Accent 5' /><br /><w:LsdException Locked='false' Priority='63' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Shading 1 Accent 5' /><br /><w:LsdException Locked='false' Priority='64' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Shading 2 Accent 5' /><br /><w:LsdException Locked='false' Priority='65' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium List 1 Accent 5' /><br /><w:LsdException Locked='false' Priority='66' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium List 2 Accent 5' /><br /><w:LsdException Locked='false' Priority='67' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Grid 1 Accent 5' /><br /><w:LsdException Locked='false' Priority='68' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Grid 2 Accent 5' /><br /><w:LsdException Locked='false' Priority='69' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Grid 3 Accent 5' /><br /><w:LsdException Locked='false' Priority='70' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Dark List Accent 5' /><br /><w:LsdException Locked='false' Priority='71' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Colorful Shading Accent 5' /><br /><w:LsdException Locked='false' Priority='72' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Colorful List Accent 5' /><br /><w:LsdException Locked='false' Priority='73' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Colorful Grid Accent 5' /><br /><w:LsdException Locked='false' Priority='60' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Light Shading Accent 6' /><br /><w:LsdException Locked='false' Priority='61' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Light List Accent 6' /><br /><w:LsdException Locked='false' Priority='62' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Light Grid Accent 6' /><br /><w:LsdException Locked='false' Priority='63' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Shading 1 Accent 6' /><br /><w:LsdException Locked='false' Priority='64' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Shading 2 Accent 6' /><br /><w:LsdException Locked='false' Priority='65' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium List 1 Accent 6' /><br /><w:LsdException Locked='false' Priority='66' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium List 2 Accent 6' /><br /><w:LsdException Locked='false' Priority='67' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Grid 1 Accent 6' /><br /><w:LsdException Locked='false' Priority='68' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Grid 2 Accent 6' /><br /><w:LsdException Locked='false' Priority='69' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Medium Grid 3 Accent 6' /><br /><w:LsdException Locked='false' Priority='70' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Dark List Accent 6' /><br /><w:LsdException Locked='false' Priority='71' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Colorful Shading Accent 6' /><br /><w:LsdException Locked='false' Priority='72' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Colorful List Accent 6' /><br /><w:LsdException Locked='false' Priority='73' SemiHidden='false'<br />UnhideWhenUsed='false' Name='Colorful Grid Accent 6' /><br /><w:LsdException Locked='false' Priority='19' SemiHidden='false'<br />UnhideWhenUsed='false' QFormat='true' Name='Subtle Emphasis' /><br /><w:LsdException Locked='false' Priority='21' SemiHidden='false'<br />UnhideWhenUsed='false' QFormat='true' Name='Intense Emphasis' /><br /><w:LsdException Locked='false' Priority='31' SemiHidden='false'<br />UnhideWhenUsed='false' QFormat='true' Name='Subtle Reference' /><br /><w:LsdException Locked='false' Priority='32' SemiHidden='false'<br />UnhideWhenUsed='false' QFormat='true' Name='Intense Reference' /><br /><w:LsdException Locked='false' Priority='33' SemiHidden='false'<br />UnhideWhenUsed='false' QFormat='true' Name='Book Title' /><br /><w:LsdException Locked='false' Priority='37' Name='Bibliography' /><br /><w:LsdException Locked='false' Priority='39' QFormat='true' Name='TOC Heading' /><br /></w:LatentStyles><br /></xml><![endif]--><!--[if gte mso 10]><br /><style><br />/* Style Definitions */<br />table.MsoNormalTable<br />{mso-style-name:'Table Normal';<br />mso-tstyle-rowband-size:0;<br />mso-tstyle-colband-size:0;<br />mso-style-noshow:yes;<br />mso-style-priority:99;<br />mso-style-qformat:yes;<br />mso-style-parent:'';<br />mso-padding-alt:0in 5.4pt 0in 5.4pt;<br />mso-para-margin-top:0in;<br />mso-para-margin-right:0in;<br />mso-para-margin-bottom:10.0pt;<br />mso-para-margin-left:0in;<br />line-height:115%;<br />mso-pagination:widow-orphan;<br />font-size:11.0pt;<br />font-family:'Calibri','sans-serif';<br />mso-ascii-font-family:Calibri;<br />mso-ascii-theme-font:minor-latin;<br />mso-hansi-font-family:Calibri;<br />mso-hansi-theme-font:minor-latin;}<br /></style><br /><![endif]--><br><div class='std'><br><h4>Features:</h4><br><ul><br><li class='MsoNormal' style='line-height: normal;'><span style='font-size: 10pt; font-family: &apos;Arial&apos;,&apos;sans-serif&apos;;'>The ultimate in winter warmth, our skull cap features our warm and breathable CS Tech-Fleece &#x2014; the same lightweight fleece we use in our arm/leg/knee warmers.&#xA0;Fits snug and tight so it will work great under your helmet. A must for cold winter riding!</span></li><br><li class='MsoNormal' style='line-height: normal;'><a href='http://www.champ-sys.com.au/order-minimums/' target='_self'><span style='font-size: 10pt; font-family: &apos;Arial&apos;,&apos;sans-serif&apos;;'>Minimums&#xA0;</span></a></li><br></ul><br></div>",
