"Qantas Retro Roo II Performance Pro Jersey",http://www.champ-sys.com.au/hidden/qantas/retroroossjii.html,retroroossjii,"<p><span>Engineered specifically for performance, this jersey provides something for every athlete, whether you are training, racing or simply on the local coffee run.</span></p><br><p><span><strong><span>Features:</span></strong></span></p><br><p><span>Constructed with three fabrics, each located for a specific performance purpose.</span></p><br><p><span>Front &amp; Rear panels:<span class='apple-converted-space'>&#xA0;</span><strong>Tech premium</strong><span class='apple-converted-space'>&#xA0;</span>all round fabric with advanced wicking properties and 50+ permanent UV protection.</span></p><br><p><span>Side Panels:<span class='apple-converted-space'>&#xA0;</span><strong>Tech Mesh</strong><span class='apple-converted-space'>&#xA0;</span>four-way stretch fabric that moves with you.</span></p><br><p><span>Shoulder:<span class='apple-converted-space'><b>&#xA0;</b></span><strong>Lycra</strong><span class='apple-converted-space'>&#xA0;</span>molds perfectly to the shape of the shoulders and arms providing a very close fit.</span></p><br><p><span>Three rear storage pockets with slash side pockets for easy access whilst on the bike.</span></p><br><p><span>Reinforced pocket anchor to ensure maximum storage capacity.</span></p><br><p><span>Zippered water resistant gear pocket with a reflective strip.</span></p><br><p><span>Lower and upper zipper garage.</span></p><br><p><span>Silicone rear hem keeps jersey in correct position whilst riding.</span></p><br><p><span>Soft feel, tapered collar allowing for ideal comfort.</span></p><br><p><span>Full zipper, adapt to all conditions.</span></p><br><p><span>Partial flatlock seams allowing additional aesthetic appeal.</span></p><br><p><span>Men&apos;s Club and Race cut and Women&apos;s cut available</span></p>",$129.00
"Qantas Retro Roo II Performance Bib Shorts",http://www.champ-sys.com.au/hidden/qantas/retroroobsii.html,retroroobsii,"<p><span>Engineered specifically for performance, the Performance Bib Short provides something for every athlete, whether you are training, racing or simply on the local coffee run.</span></p><br><p class='body'><span><span><strong><span style='text-decoration: underline;'><span>Features</span></span></strong></span><span>:</span></span></p><br><p class='body'><span><span>Constructed entirely from our premium CS Contour fabric to ensure maximum compression which leads to optimal comfort. The Performance Bib Short provides a close yet traditional fit.</span></span></p><br><p class='body'><span><b><span>Contour</span></b><span class='apple-converted-space'><span>&#xA0;</span></span><strong><span>Lycra</span></strong><span>: high compression lycra material &#x2013; a critical requirement for a performance bib short ensuring fit and function;&#xA0;83% Polyester, 17% Spandex fabric blend, 360 g/y fabric weight</span></span></p><br><p class='body'><span><span>Lightweight and breathable bib assembly made from <b>Tech Mesh</b></span></span></p><br><p class='body'><span><span>Radio/ipod pocket for storage</span></span></p><br><p class='body'><span><span>Flatlock exposed stitch in key areas</span></span></p><br><p class='body'><span><span>Double layered rear panel, providing increased structure and durability</span></span></p><br><p class='body'><span><span>Fabric injection gripper, ensuring low irritation cuffs that stay in place in all conditions</span></span></p><br><p class='body'><span><span>* Additional leg length option available in Men&apos;s cut only&#xA0;</span></span></p>",$159.00
"Qantas Retro Roo Performance Bib Shorts",http://www.champ-sys.com.au/hidden/qantas/retroroobs.html,retroroobs,"<p><span>Engineered specifically for performance, the Performance Bib Short provides something for every athlete, whether you are training, racing or simply on the local coffee run.</span></p><br><p class='body'><span><span><strong><span style='text-decoration: underline;'><span>Features</span></span></strong></span><span>:</span></span></p><br><p class='body'><span><span>Constructed entirely from our premium CS Contour fabric to ensure maximum compression which leads to optimal comfort. The Performance Bib Short provides a close yet traditional fit.</span></span></p><br><p class='body'><span><b><span>Contour</span></b><span class='apple-converted-space'><span>&#xA0;</span></span><strong><span>Lycra</span></strong><span>: high compression lycra material &#x2013; a critical requirement for a performance bib short ensuring fit and function;&#xA0;83% Polyester, 17% Spandex fabric blend, 360 g/y fabric weight</span></span></p><br><p class='body'><span><span>Lightweight and breathable bib assembly made from <b>Tech Mesh</b></span></span></p><br><p class='body'><span><span>Radio/ipod pocket for storage</span></span></p><br><p class='body'><span><span>Flatlock exposed stitch in key areas</span></span></p><br><p class='body'><span><span>Double layered rear panel, providing increased structure and durability</span></span></p><br><p class='body'><span><span>Fabric injection gripper, ensuring low irritation cuffs that stay in place in all conditions</span></span></p><br><p class='body'><span><span>* Additional leg length option available in Men&apos;s cut only&#xA0;</span></span></p>",$159.00
"Qantas Retro Roo Performance Pro Jersey",http://www.champ-sys.com.au/hidden/qantas/retroroossj.html,retroroossj,"<p><span>Engineered specifically for performance, this jersey provides something for every athlete, whether you are training, racing or simply on the local coffee run.</span></p><br><p><span><strong><span>Features:</span></strong></span></p><br><p><span>Constructed with three fabrics, each located for a specific performance purpose.</span></p><br><p><span>Front &amp; Rear panels:<span class='apple-converted-space'>&#xA0;</span><strong>Tech premium</strong><span class='apple-converted-space'>&#xA0;</span>all round fabric with advanced wicking properties and 50+ permanent UV protection.</span></p><br><p><span>Side Panels:<span class='apple-converted-space'>&#xA0;</span><strong>Tech Mesh</strong><span class='apple-converted-space'>&#xA0;</span>four-way stretch fabric that moves with you.</span></p><br><p><span>Shoulder:<span class='apple-converted-space'><b>&#xA0;</b></span><strong>Lycra</strong><span class='apple-converted-space'>&#xA0;</span>molds perfectly to the shape of the shoulders and arms providing a very close fit.</span></p><br><p><span>Three rear storage pockets with slash side pockets for easy access whilst on the bike.</span></p><br><p><span>Reinforced pocket anchor to ensure maximum storage capacity.</span></p><br><p><span>Zippered water resistant gear pocket with a reflective strip.</span></p><br><p><span>Lower and upper zipper garage.</span></p><br><p><span>Silicone rear hem keeps jersey in correct position whilst riding.</span></p><br><p><span>Soft feel, tapered collar allowing for ideal comfort.</span></p><br><p><span>Full zipper, adapt to all conditions.</span></p><br><p><span>Partial flatlock seams allowing additional aesthetic appeal.</span></p><br><p><span>Men&apos;s Club and Race cut and Women&apos;s cut available</span></p>",$129.00
"Qantas Retro Roo  II Euro Cap",http://www.champ-sys.com.au/hidden/qantas/retrocap-30711.html,retrocap-30711,"<p>Lightweight riding cap in Qantas design.</p><br><p>* One size fits most.</p><br>",$22.00
"Qantas Retro Roo Apex Pro Jersey",http://www.champ-sys.com.au/hidden/qantas/retrorooeliterazor.html,retrorooeliterazor,"<p class='body'><span>The Apex Pro Jersey is specifically designed for the discerning, detail oriented athlete, who&#x2019;s looking to leave no stone unturned in their quest for top results.</span></p><br><p class='body'><span><strong><span style='text-decoration: underline;'><span>Features:</span></span></strong></span></p><br><p class='body'><span>New anatomic, close fit cut. This jersey is designed to be a very close, body hugging fit.</span></p><br><p class='body'><span>Constructed with two high end premium Italian fabrics, each located for a specific performance purpose.</span></p><br><p class='body'><span>Front, Rear, Shoulder &amp; Sleeves:<span class='apple-converted-space'>&#xA0;</span><b>Elite Fabric</b>, a soft, lightweight fabric with a high lycra content allowing a perfect fit and heightened levels of comfort</span></p><br><p class='body'><span>Underarm, collar &amp; Side panels:<span class='apple-converted-space'>&#xA0;</span><b>Dimple Lite</b>, a breathable tensile lightweight fabric, with high stretch, allowing a close tight fit across the body.</span></p><br><p class='body'><span>Three rear storage pockets with slash side pockets for easy access whilst on the bike.</span></p><br><p class='body'><span>Reinforced pocket anchor to ensure maximum storage capacity.</span></p><br><p class='body'><span>Zippered water resistant gear pocket with a highly reflective durable strip.</span></p><br><p class='body'><span>Wide band silicon injected front hem provides incredible support to hold the jersey firmly in place, a key factor in overall jersey comfort.</span></p><br><p class='body'><span>Lower and upper zipper garage to provide minimal irritation in any conditions.</span></p><br><p class='body'><span>Silicone rear hem keeps jersey in correct position whilst riding.</span></p><br><p class='body'><span>Soft feel, tapered collar allowing for ideal comfort.</span></p><br><p class='body'><span>A full zipper - adapt to all conditions.</span></p><br><p class='body'><span>Men&#x2019;s Club &amp; Race cut and Women&#x2019;s cut available</span></p>",$195.00
"Qantas 6 Inch Retro Roo Socks",http://www.champ-sys.com.au/hidden/qantas/qf-socks-30713.html,qf-socks-30713,"<p>Fully sublimated socks in the Qantas Retro Roo design.</p><br><p>70% Cotton, 17% Elastic, 10% Lycra, 3% Polyester.</p>",$20.00
"Qantas Retro Roo Apex Bib Shorts",http://www.champ-sys.com.au/hidden/qantas/retroroobs-30711.html,retroroobs-30711,"<p class='body'><span>The Apex Bib Short is specifically designed for the discerning, detail oriented athlete, who&#x2019;s looking to leave no stone unturned in their quest for top results.</span></p><br><p class='body'><span>Constructed with two fabrics used in specific areas to ensure maximum compression which leads to optimal comfort. The Apex Bib Short is a very close, tight fitting bib short.</span></p><br><p class='body'><span><strong><span style='text-decoration: underline;'><span>Features:</span></span></strong></span></p><br><p class='body'><b><span>Carbon Fabric:<span class='apple-converted-space'>&#xA0;</span></span></b><span>used on the leg gripper so as to provide firm compression for the thigh area&#xA0;ensuring muscles remain in a stable position</span></p><br><p class='body'><span>A thin strip placed above the rear panel just under the bib assembly, that provides the bib short with stability across the back of&#xA0;the bib.</span></p><br><p class='body'><span>CS Carbon fabric contains thermoregulating properties, to keep muscles at optimum temperature for performance.</span></p><br><p class='body'><b><span>Contour Lycra:<span class='apple-converted-space'>&#xA0;</span></span></b><span>high compression lycra material &#x2013; a critical requirement for a performance bib short ensuring fit and function;&#xA0;83% Polyester, 17% Spandex fabric blend;&#xA0;360 g/y fabric weight; used on side panels and rear panel</span></p><br><p class='body'><span>Lightweight and breathable bib assembly made from<span class='apple-converted-space'>&#xA0;</span><strong>Agile</strong></span></p><br><p class='body'><span>Exposed flatlock stitching in key areas</span></p><br><p class='body'><span>Radio/ipod pocket for storage</span></p><br><p class='body'><span>Double layered rear panel, providing increased structure and durability</span></p><br><p class='body'><span>Fabric injection gripper, ensuring low irritation cuffs that stay in place in all conditions</span></p><br><p class='body'><span>* Additional leg length option available in Men&apos;s cut only</span></p>",$215.00
"Qantas Retro Roo II Apex Bib Shorts",http://www.champ-sys.com.au/hidden/qantas/retroroobs-30712.html,retroroobs-30712,"<p class='body'><span>The Apex Bib Short is specifically designed for the discerning, detail oriented athlete, who&#x2019;s looking to leave no stone unturned in their quest for top results.</span></p><br><p class='body'><span>Constructed with two fabrics used in specific areas to ensure maximum compression which leads to optimal comfort. The Apex Bib Short is a very close, tight fitting bib short.</span></p><br><p class='body'><span><strong><span style='text-decoration: underline;'><span>Features:</span></span></strong></span></p><br><p class='body'><b><span>Carbon Fabric:<span class='apple-converted-space'>&#xA0;</span></span></b><span>used on the leg gripper so as to provide firm compression for the thigh area&#xA0;ensuring muscles remain in a stable position</span></p><br><p class='body'><span>A thin strip placed above the rear panel just under the bib assembly, that provides the bib short with stability across the back of&#xA0;the bib.</span></p><br><p class='body'><span>CS Carbon fabric contains thermoregulating properties, to keep muscles at optimum temperature for performance.</span></p><br><p class='body'><b><span>Contour Lycra:<span class='apple-converted-space'>&#xA0;</span></span></b><span>high compression lycra material &#x2013; a critical requirement for a performance bib short ensuring fit and function;&#xA0;83% Polyester, 17% Spandex fabric blend;&#xA0;360 g/y fabric weight; used on side panels and rear panel</span></p><br><p class='body'><span>Lightweight and breathable bib assembly made from<span class='apple-converted-space'>&#xA0;</span><strong>Agile</strong></span></p><br><p class='body'><span>Exposed flatlock stitching in key areas</span></p><br><p class='body'><span>Radio/ipod pocket for storage</span></p><br><p class='body'><span>Double layered rear panel, providing increased structure and durability</span></p><br><p class='body'><span>Fabric injection gripper, ensuring low irritation cuffs that stay in place in all conditions</span></p><br><p class='body'><span>* Additional leg length option available in Men&apos;s cut only</span></p>",$215.00
"Jetstar Performance Link Tri Suit",http://www.champ-sys.com.au/hidden/qantas/performanceproqantas-30713.html,performanceproqantas-30713,"<p class='body'>This Performance Link Triathlon suit features contoured panels with exposed flatlock stitching providing additional fit and comfort, whilst covered rear pockets allow for easy access to your nutrition.</p><br><p class='body'><strong>Features:</strong></p><br><p class='body'><strong>CS Contour Lycra - </strong>83% Polyester, 17% Spandex blend, with a 360 g/y weight</p><br><p class='body'><strong>CS Hydrodry - </strong>Pre Dyed fabric area</p><br><p class='body'>Performance Triathlon Specific chamois</p><br><p class='body'>Exposed flatlock stitching</p><br><p class='body'>2 covered rear pockets</p><br><p class='body'>Anatomic panels</p><br><p class='body'>Elastic leg grippers</p><br><p class='body'>Front YKK Zipper</p><br><p class='body'>Available in Men&apos;s and Women&apos;s Cuts</p>",$239.00
"Qantas Retro Roo II Apex Pro Jersey",http://www.champ-sys.com.au/hidden/qantas/retrorooii.html,retrorooii,"<p class='body'><span>The Apex Pro Jersey is specifically designed for the discerning, detail oriented athlete, who&#x2019;s looking to leave no stone unturned in their quest for top results.</span></p><br><p class='body'><span><strong><span style='text-decoration: underline;'><span>Features:</span></span></strong></span></p><br><p class='body'><span>New anatomic, close fit cut. This jersey is designed to be a very close, body hugging fit.</span></p><br><p class='body'><span>Constructed with two high end premium Italian fabrics, each located for a specific performance purpose.</span></p><br><p class='body'><span>Front, Rear, Shoulder &amp; Sleeves:<span class='apple-converted-space'>&#xA0;</span><b>Elite Fabric</b>, a soft, lightweight fabric with a high lycra content allowing a perfect fit and heightened levels of comfort</span></p><br><p class='body'><span>Underarm, collar &amp; Side panels:<span class='apple-converted-space'>&#xA0;</span><b>Dimple Lite</b>, a breathable tensile lightweight fabric, with high stretch, allowing a close tight fit across the body.</span></p><br><p class='body'><span>Three rear storage pockets with slash side pockets for easy access whilst on the bike.</span></p><br><p class='body'><span>Reinforced pocket anchor to ensure maximum storage capacity.</span></p><br><p class='body'><span>Zippered water resistant gear pocket with a highly reflective durable strip.</span></p><br><p class='body'><span>Wide band silicon injected front hem provides incredible support to hold the jersey firmly in place, a key factor in overall jersey comfort.</span></p><br><p class='body'><span>Lower and upper zipper garage to provide minimal irritation in any conditions.</span></p><br><p class='body'><span>Silicone rear hem keeps jersey in correct position whilst riding.</span></p><br><p class='body'><span>Soft feel, tapered collar allowing for ideal comfort.</span></p><br><p class='body'><span>A full zipper - adapt to all conditions.</span></p><br><p class='body'><span>Men&#x2019;s Club &amp; Race cut and Women&#x2019;s cut available</span></p>",$195.00
"Qantas 6 Inch Retro Roo II Socks",http://www.champ-sys.com.au/hidden/qantas/qf-socks-30714.html,qf-socks-30714,"<p>Fully sublimated socks in the Qantas Retro Roo design.</p><br><p>70% Cotton, 17% Elastic, 10% Lycra, 3% Polyester.</p>",$20.00
"Qantas Retro Roo White Euro Cap",http://www.champ-sys.com.au/hidden/qantas/retrocap.html,retrocap,"<p>Lightweight riding cap in Qantas design.</p><br><p>* One size fits most.</p><br>",$22.00
"Jetstar Apex Pro Jersey",http://www.champ-sys.com.au/hidden/qantas/qantas-cycling-jersey-30694.html,qantas-cycling-jersey-30694,"<p class='body'><span>The Apex Pro Jersey is specifically designed for the discerning, detail oriented athlete, who&#x2019;s looking to leave no stone unturned in their quest for top results.</span></p><br><p class='body'><span><strong><span style='text-decoration: underline;'><span>Features:</span></span></strong></span></p><br><p class='body'><span>New anatomic, close fit cut. This jersey is designed to be a very close, body hugging fit.</span></p><br><p class='body'><span>Constructed with two high end premium Italian fabrics, each located for a specific performance purpose.</span></p><br><p class='body'><span>Front, Rear, Shoulder &amp; Sleeves:<span class='apple-converted-space'>&#xA0;</span><b>Elite Fabric</b>, a soft, lightweight fabric with a high lycra content allowing a perfect fit and heightened levels of comfort</span></p><br><p class='body'><span>Underarm, collar &amp; Side panels:<span class='apple-converted-space'>&#xA0;</span><b>Dimple Lite</b>, a breathable tensile lightweight fabric, with high stretch, allowing a close tight fit across the body.</span></p><br><p class='body'><span>Three rear storage pockets with slash side pockets for easy access whilst on the bike.</span></p><br><p class='body'><span>Reinforced pocket anchor to ensure maximum storage capacity.</span></p><br><p class='body'><span>Zippered water resistant gear pocket with a highly reflective durable strip.</span></p><br><p class='body'><span>Wide band silicon injected front hem provides incredible support to hold the jersey firmly in place, a key factor in overall jersey comfort.</span></p><br><p class='body'><span>Lower and upper zipper garage to provide minimal irritation in any conditions.</span></p><br><p class='body'><span>Silicone rear hem keeps jersey in correct position whilst riding.</span></p><br><p class='body'><span>Soft feel, tapered collar allowing for ideal comfort.</span></p><br><p class='body'><span>A full zipper - adapt to all conditions.</span></p><br><p class='body'><span>Men&#x2019;s Club &amp; Race cut and Women&#x2019;s cut available</span></p>",$195.00
"Jetstar Performance  Bib Shorts ",http://www.champ-sys.com.au/hidden/qantas/performanceproqantas-30710.html,performanceproqantas-30710,"<p><span>Engineered specifically for performance, the Performance Bib Short provides something for every athlete, whether you are training, racing or simply on the local coffee run.</span></p><br><p class='body'><span><span><strong><span style='text-decoration: underline;'><span>Features</span></span></strong></span><span>:</span></span></p><br><p class='body'><span><span>Constructed entirely from our premium CS Contour fabric to ensure maximum compression which leads to optimal comfort. The Performance Bib Short provides a close yet traditional fit.</span></span></p><br><p class='body'><span><b><span>Contour</span></b><span class='apple-converted-space'><span>&#xA0;</span></span><strong><span>Lycra</span></strong><span>: high compression lycra material &#x2013; a critical requirement for a performance bib short ensuring fit and function;&#xA0;83% Polyester, 17% Spandex fabric blend, 360 g/y fabric weight</span></span></p><br><p class='body'><span><span>Lightweight and breathable bib assembly</span><span>&#xA0;made from&#xA0;</span><b>Tech Mesh</b></span></p><br><p class='body'><span><span>Radio/ipod pocket for storage</span></span></p><br><p class='body'><span><span>Flatlock exposed stitch in key areas</span></span></p><br><p class='body'><span><span>Double layered rear panel, providing increased structure and durability</span></span></p><br><p class='body'><span><span>Fabric injection gripper, ensuring low irritation cuffs that stay in place in all conditions</span></span></p><br><p class='body'><span><span>Additional leg length option available&#xA0;</span></span></p>",$159.00
"Jetstar Apex  Bib Shorts ",http://www.champ-sys.com.au/hidden/qantas/performanceproqantas-30709.html,performanceproqantas-30709,"<p class='body'><span>The Apex Bib Short is specifically designed for the discerning, detail oriented athlete, who&#x2019;s looking to leave no stone unturned in their quest for top results.</span></p><br><p class='body'><span>Constructed with two fabrics used in specific areas to ensure maximum compression which leads to optimal comfort. The Apex Bib Short is a very close, tight fitting bib short.</span></p><br><p class='body'><span><strong><span style='text-decoration: underline;'><span>Features:</span></span></strong></span></p><br><p class='body'><b><span>Carbon Fabric:<span class='apple-converted-space'>&#xA0;</span></span></b><span>used on the leg gripper so as to provide firm compression for the thigh area&#xA0;ensuring muscles remain in a stable position</span></p><br><p class='body'><span>A thin strip placed above the rear panel just under the bib assembly, that provides the bib short with stability across the back of&#xA0;the bib.</span></p><br><p class='body'><span>CS Carbon fabric contains thermoregulating properties, to keep muscles at optimum temperature for performance.</span></p><br><p class='body'><b><span>Contour Lycra:<span class='apple-converted-space'>&#xA0;</span></span></b><span>high compression lycra material &#x2013; a critical requirement for a performance bib short ensuring fit and function;&#xA0;83% Polyester, 17% Spandex fabric blend;&#xA0;360 g/y fabric weight; used on side panels and rear panel</span></p><br><p class='body'><span>Lightweight and breathable bib assembly made from<span class='apple-converted-space'>&#xA0;</span><strong>Agile</strong></span></p><br><p class='body'><span>Exposed flatlock stitching in key areas</span></p><br><p class='body'><span>Radio/ipod pocket for storage</span></p><br><p class='body'><span>Double layered rear panel, providing increased structure and durability</span></p><br><p class='body'><span>Fabric injection gripper, ensuring low irritation cuffs that stay in place in all conditions</span></p><br><p class='body'><span>*Additional leg length option available in Men&apos;s cut only</span></p>",$215.00
"Jetstar Performance Pro Jersey",http://www.champ-sys.com.au/hidden/qantas/qantas-cycling-jersey-30695.html,qantas-cycling-jersey-30695,"<p><span>Engineered specifically for performance, this jersey provides something for every athlete, whether you are training, racing or simply on the local coffee run.</span></p><br><p><span><strong><span>Features:</span></strong></span></p><br><p><span>Constructed with three fabrics, each located for a specific performance purpose.</span></p><br><p><span>Front &amp; Rear panels:<span class='apple-converted-space'>&#xA0;</span><strong>Tech premium</strong><span class='apple-converted-space'>&#xA0;</span>all round fabric with advanced wicking properties and 50+ permanent UV protection.</span></p><br><p><span>Side Panels:<span class='apple-converted-space'>&#xA0;</span><strong>Tech Mesh</strong><span class='apple-converted-space'>&#xA0;</span>four-way stretch fabric that moves with you.</span></p><br><p><span>Shoulder:<span class='apple-converted-space'><b>&#xA0;</b></span><strong>Lycra</strong><span class='apple-converted-space'>&#xA0;</span>molds perfectly to the shape of the shoulders and arms providing a very close fit.</span></p><br><p><span>Three rear storage pockets with slash side pockets for easy access whilst on the bike.</span></p><br><p><span>Reinforced pocket anchor to ensure maximum storage capacity.</span></p><br><p><span>Zippered water resistant gear pocket with a reflective strip.</span></p><br><p><span>Lower and upper zipper garage.</span></p><br><p><span>Silicone rear hem keeps jersey in correct position whilst riding.</span></p><br><p><span>Soft feel, tapered collar allowing for ideal comfort.</span></p><br><p><span>Full zipper, adapt to all conditions.</span></p><br><p><span>Partial flatlock seams allowing additional aesthetic appeal.</span></p><br><p><span>Men&apos;s Club and Race cut and Women&apos;s cut available</span></p>",$129.00
